Date : 2025-08-17 15:20:01
Directory : /home/andrew-peterson/code/laniusc
Total : 88 files,  3589 codes, 403 comments, 548 blanks, all 4540 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |         59 |      2,996 |        204 |        411 |      3,611 |
| Slang    |         21 |        313 |         24 |         74 |        411 |
| TOML     |          3 |        253 |        175 |         38 |        466 |
| Markdown |          5 |         27 |          0 |         25 |         52 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         88 |      3,589 |        403 |        548 |      4,540 |
| . (Files)                                                                                         |          8 |        307 |        175 |         63 |        545 |
| shaders                                                                                           |         22 |        290 |         24 |         74 |        388 |
| shaders (Files)                                                                                   |          1 |        -23 |          0 |          0 |        -23 |
| shaders/lexer                                                                                     |         18 |        119 |         -2 |         33 |        150 |
| shaders/parser                                                                                    |          3 |        194 |         26 |         41 |        261 |
| src                                                                                               |         57 |      2,838 |        193 |        394 |      3,425 |
| src (Files)                                                                                       |          1 |          4 |          0 |          0 |          4 |
| src/bin                                                                                           |          7 |         90 |         17 |         14 |        121 |
| src/dev                                                                                           |          2 |        117 |         18 |         17 |        152 |
| src/gpu                                                                                           |          6 |        637 |         41 |         86 |        764 |
| src/lexer                                                                                         |         30 |        895 |          4 |        118 |      1,017 |
| src/lexer/gpu                                                                                     |         29 |        894 |          4 |        118 |      1,016 |
| src/lexer/gpu (Files)                                                                             |          9 |        826 |         34 |        111 |        971 |
| src/lexer/gpu/passes                                                                              |         20 |         68 |        -30 |          7 |         45 |
| src/lexer/tables                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src/parser                                                                                        |         10 |      1,095 |        113 |        158 |      1,366 |
| src/parser (Files)                                                                                |          2 |        344 |         56 |         48 |        448 |
| src/parser/gpu                                                                                    |          8 |        751 |         57 |        110 |        918 |
| src/parser/gpu (Files)                                                                            |          4 |        499 |         52 |         76 |        627 |
| src/parser/gpu/passes                                                                             |          4 |        252 |          5 |         34 |        291 |
| src/type_checker                                                                                  |          1 |          0 |          0 |          1 |          1 |
| tests                                                                                             |          1 |        154 |         11 |         17 |        182 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                          | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/andrew-peterson/code/laniusc/Cargo.lock                                                     | TOML     |        195 |          0 |         23 |        218 |
| /home/andrew-peterson/code/laniusc/Cargo.toml                                                     | TOML     |          3 |          0 |          0 |          3 |
| /home/andrew-peterson/code/laniusc/LEXING_ADDITIONAL.md                                           | Markdown |        150 |          0 |         72 |        222 |
| /home/andrew-peterson/code/laniusc/LLM_REMINDERS.md                                               | Markdown |          3 |          0 |          0 |          3 |
| /home/andrew-peterson/code/laniusc/PARSING.md                                                     | Markdown |         47 |          0 |         25 |         72 |
| /home/andrew-peterson/code/laniusc/PARSING_PLAN.md                                                | Markdown |       -150 |          0 |        -72 |       -222 |
| /home/andrew-peterson/code/laniusc/build.rs                                                       | Rust     |          4 |          0 |          0 |          4 |
| /home/andrew-peterson/code/laniusc/deny.toml                                                      | TOML     |         55 |        175 |         15 |        245 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/apply_block_prefix_downsweep.slang               | Slang    |        -83 |         -6 |        -11 |       -100 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/boundary_finalize_and_seed.slang                 | Slang    |         60 |          0 |         18 |         78 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/build_tokens.slang                               | Slang    |        -30 |         -6 |         -8 |        -44 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/compact_boundaries.slang                         | Slang    |         18 |          9 |          3 |         30 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/dfa_01_scan_inblock.slang                        | Slang    |        122 |         13 |         21 |        156 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/dfa_02_scan_block_summaries.slang                | Slang    |         54 |          6 |         13 |         73 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/dfa_03_apply_block_prefix.slang                  | Slang    |        119 |          7 |         20 |        146 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/finalize_boundaries_and_seed.slang               | Slang    |        -57 |        -13 |        -19 |        -89 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/pair_01_sum_inblock.slang                        | Slang    |         51 |          8 |         11 |         70 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/pair_02_scan_block_totals.slang                  | Slang    |         46 |          6 |          8 |         60 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/pair_03_apply_block_prefix.slang                 | Slang    |         53 |          5 |         13 |         71 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/scan_block_summaries_inclusive.slang             | Slang    |        -55 |         -3 |         -8 |        -66 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/scan_inblock_inclusive.slang                     | Slang    |        -81 |         -6 |        -10 |        -97 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/sum_apply_block_prefix_downsweep_pairs.slang     | Slang    |        -53 |         -5 |        -13 |        -71 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/sum_inblock_pairs.slang                          | Slang    |        -51 |         -8 |        -11 |        -70 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/sum_scan_block_totals_inclusive.slang            | Slang    |        -40 |         -3 |         -6 |        -49 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/tokens_build.slang                               | Slang    |         30 |          6 |          8 |         44 |
| /home/andrew-peterson/code/laniusc/shaders/lexer/utils.slang                                      | Slang    |         16 |        -12 |          4 |          8 |
| /home/andrew-peterson/code/laniusc/shaders/parser/brackets_match.slang                            | Slang    |         77 |         14 |         16 |        107 |
| /home/andrew-peterson/code/laniusc/shaders/parser/llp_pairs.slang                                 | Slang    |         37 |          0 |          7 |         44 |
| /home/andrew-peterson/code/laniusc/shaders/parser/pack_varlen.slang                               | Slang    |         80 |         12 |         18 |        110 |
| /home/andrew-peterson/code/laniusc/shaders/reminders.md                                           | Markdown |        -23 |          0 |          0 |        -23 |
| /home/andrew-peterson/code/laniusc/src/bin/fuzz_lex.rs                                            | Rust     |        -92 |         -3 |        -12 |       -107 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_lex_tables.rs                                      | Rust     |         56 |          5 |         11 |         72 |
| /home/andrew-peterson/code/laniusc/src/bin/gen_parse_tables.rs                                    | Rust     |         91 |         25 |         15 |        131 |
